id,customer_name,sentiment,csat_score,call_timestamp,day,reason,city,state,channel,response_time,call duration in minutes,call_center
JDP-35147568-w-630120-3l,Nicolle Fareweather,Very Positive,,1/15/2020,15,Billing Question,Portland,Oregon,Call-Center,Within SLA,30,Baltimore/MD
DPT-56483482-P-371409-CQ,Melesa Ricardot,Positive,7,12/22/2019,22,Billing Question,Springfield,Massachusetts,Chatbot,Within SLA,20,Denver/CO
ZOV-95861398-a-333622-9r,Odell Cathesyed,Very Negative,,11/28/2019,28,Payments,Hyattsville,Maryland,Call-Center,Below SLA,22,Baltimore/MD
BEJ-69711449-V-758715-cp,Dani Stanfield,Negative,4,11/4/2019,4,Billing Question,New York City,New York,Chatbot,Within SLA,28,Denver/CO
DEC-83767217-S-314070-eR,Margarette Jehaes,Negative,,10/11/2019,11,Billing Question,Huntsville,Alabama,Email,Above SLA,36,Baltimore/MD
XNY-04106353-Y-318117-I9,Noni Greatrakes,Neutral,,9/17/2019,17,Billing Question,Wichita,Kansas,Call-Center,Above SLA,37,Baltimore/MD
GKH-06532516-2-756137-9w,Gerik Archell,Negative,,8/24/2019,24,Billing Question,Lansing,Michigan,Web,Within SLA,41,Baltimore/MD
DJU-19977844-M-356042-cQ,Tammie Bettinson,Very Negative,,7/31/2019,31,Payments,Lansing,Michigan,Call-Center,Within SLA,9,Chicago/IL
ADD-82219259-r-882390-EG,Errol Follos,Neutral,,7/7/2019,7,Billing Question,Fort Wayne,Indiana,Chatbot,Below SLA,35,Baltimore/MD
YOB-40492230-M-009287-T8,Nanni Doy,Negative,5,6/13/2019,13,Billing Question,Hayward,California,Email,Within SLA,27,Baltimore/MD
GZD-50459522-O-178569-D2,Sophie Kleinerman,Very Negative,2,5/20/2019,20,Billing Question,Santa Barbara,California,Chatbot,Within SLA,20,Chicago/IL
FQX-24118867-H-358169-3N,Timotheus Menlove,Negative,,4/26/2019,26,Billing Question,Memphis,Tennessee,Call-Center,Within SLA,43,Baltimore/MD
SVH-32880745-c-681066-4a,Allayne Lednor,Negative,,4/2/2019,2,Service Outage,Murfreesboro,Tennessee,Chatbot,Below SLA,41,Baltimore/MD
ISK-94965442-x-233388-Vz,Bethina Fazzioli,Positive,,3/9/2019,9,Billing Question,Lubbock,Texas,Chatbot,Below SLA,45,Denver/CO
WUJ-90727821-m-177169-j0,Stanwood Esley,Very Negative,,2/13/2019,13,Billing Question,New York City,New York,Call-Center,Within SLA,19,Baltimore/MD
PKG-51691289-6-484895-mg,Anissa Kinrade,Very Positive,,1/20/2019,20,Payments,Oklahoma City,Oklahoma,Call-Center,Within SLA,40,Chicago/IL
YSU-89393344-7-508964-gG,Bradly Dinkin,Very Positive,,12/27/2018,27,Billing Question,Omaha,Nebraska,Chatbot,Below SLA,6,Chicago/IL
OKT-23554135-U-885557-tw,Callida Le Franc,Negative,6,12/3/2018,3,Billing Question,Birmingham,Alabama,Web,Within SLA,26,Los Angeles/CA
PWN-23158453-4-345907-mh,Jdavie Fasler,Neutral,,11/9/2018,9,Service Outage,Jamaica,New York,Chatbot,Below SLA,10,Baltimore/MD
SOU-95968322-O-261597-9F,Saundra Greenshields,Very Negative,,10/16/2018,16,Billing Question,Atlanta,Georgia,Chatbot,Below SLA,35,Los Angeles/CA
IFI-31277173-T-796016-Ej,Joseph Trenear,Negative,,9/22/2018,22,Service Outage,Clearwater,Florida,Email,Within SLA,38,Baltimore/MD
TAP-16251358-j-875784-7e,Kaylil Randell,Very Negative,2,8/29/2018,29,Billing Question,New York City,New York,Call-Center,Above SLA,17,Chicago/IL
IZI-93062579-M-779259-Aj,Quinton Marchelli,Positive,,8/5/2018,5,Payments,Los Angeles,California,Call-Center,Within SLA,39,Los Angeles/CA
YUZ-85735662-N-048492-c4,Hakim Saywood,Negative,,7/12/2018,12,Billing Question,Richmond,Virginia,Chatbot,Within SLA,30,Baltimore/MD
FXL-84178942-u-052829-XI,Lucilia Blenkhorn,Negative,,6/18/2018,18,Billing Question,Dallas,Texas,Email,Within SLA,39,Baltimore/MD
VJQ-35718541-f-410836-5V,Ophelia Thresh,Negative,,5/25/2018,25,Billing Question,Louisville,Kentucky,Email,Above SLA,15,Baltimore/MD
WWE-90128095-o-317664-QO,Norine Hedau,Negative,,5/1/2018,1,Payments,Lubbock,Texas,Call-Center,Within SLA,36,Los Angeles/CA
WRN-02286567-g-819640-IF,Inessa Trippitt,Very Positive,9,4/7/2018,7,Billing Question,Houston,Texas,Email,Above SLA,16,Los Angeles/CA
GII-58879080-G-003855-fq,Clarence Heymann,Very Negative,,3/14/2018,14,Billing Question,Spokane,Washington,Email,Above SLA,40,Los Angeles/CA
LEI-66844798-H-062686-fX,Dermot Capponer,Very Negative,,2/18/2018,18,Billing Question,Flint,Michigan,Email,Below SLA,30,Baltimore/MD
GJA-73841780-H-981786-el,Paulette Tartt,Very Negative,1,1/25/2018,5,Billing Question,New York City,New York,Email,Within SLA,14,Baltimore/MD
WMK-53470523-t-979771-6D,Tamarra Pavier,Negative,4,1/1/2018,1,Billing Question,Washington,District of Columbia,Chatbot,Within SLA,14,Baltimore/MD
RFH-13005335-x-941945-KY,Darcy Cuncarr,Negative,4,12/8/2017,8,Billing Question,Rockford,Illinois,Call-Center,Within SLA,37,Chicago/IL
TCF-76185462-G-581239-Uh,Ab Potteril,Very Negative,2,11/14/2017,14,Billing Question,Las Vegas,Nevada,Email,Below SLA,10,Chicago/IL
PHM-21046348-y-700571-Q0,Christi Matveichev,Neutral,,10/21/2017,21,Billing Question,Elmira,New York,Call-Center,Within SLA,24,Baltimore/MD
RTW-93566842-a-737480-ex,Luca Castel,Positive,9,9/27/2017,27,Payments,Houston,Texas,Call-Center,Within SLA,44,Los Angeles/CA
EVX-57238379-w-409038-iP,Sonnie Pickvance,Positive,7,9/3/2017,3,Billing Question,Daytona Beach,Florida,Web,Within SLA,18,Los Angeles/CA
HGJ-90827281-o-285311-OH,Abramo Tottman,Very Negative,1,8/10/2017,10,Billing Question,Inglewood,California,Web,Above SLA,33,Baltimore/MD
RMP-80622052-4-366156-CW,Evanne Domeny,Very Negative,,7/17/2017,17,Billing Question,Cincinnati,Ohio,Call-Center,Below SLA,20,Los Angeles/CA
QOT-98385562-d-413189-ae,Welsh Eisig,Very Negative,,6/23/2017,23,Billing Question,Greeley,Colorado,Web,Within SLA,21,Denver/CO
EAE-65130530-2-175819-Fy,Terrye Conring,Very Negative,3,5/30/2017,30,Payments,Fort Worth,Texas,Call-Center,Within SLA,29,Los Angeles/CA
DVL-23396440-Q-486865-FM,Kinny Foxall,Very Negative,,5/6/2017,6,Payments,Mobile,Alabama,Call-Center,Below SLA,25,Baltimore/MD
NEC-52763410-8-812910-pI,Dare Ropcke,Positive,8,4/12/2017,12,Billing Question,Charlotte,North Carolina,Email,Within SLA,34,Denver/CO
XAW-53304484-e-433257-XN,Cornelia Dunbabin,Neutral,,3/19/2017,19,Billing Question,Reading,Pennsylvania,Call-Center,Within SLA,9,Los Angeles/CA
NXV-10881978-9-946923-43,Cathrine Samwayes,Very Negative,3,2/23/2017,23,Billing Question,Jamaica,New York,Email,Above SLA,19,Baltimore/MD
MDE-83031739-m-664425-oX,Katy Flaxman,Negative,,1/30/2017,30,Billing Question,Dallas,Texas,Chatbot,Within SLA,13,Los Angeles/CA
WRH-77726615-b-077434-rN,Lily Mackneis,Very Negative,,1/6/2017,6,Billing Question,Albuquerque,New Mexico,Chatbot,Within SLA,28,Baltimore/MD
NHW-21028958-t-422528-Io,Brigid Bolduc,Neutral,,12/13/2016,13,Billing Question,Lawrenceville,Georgia,Chatbot,Within SLA,12,Los Angeles/CA
KAT-16845483-b-068292-1G,Bobette Dominik,Neutral,,11/19/2016,19,Billing Question,San Diego,California,Chatbot,Within SLA,43,Denver/CO
AIL-21152814-d-948025-n4,Evvy Strodder,Very Negative,,10/26/2016,26,Billing Question,Atlanta,Georgia,Chatbot,Below SLA,18,Los Angeles/CA
MWN-00656157-D-072318-s6,Stirling Melonby,Negative,,10/2/2016,2,Billing Question,Jackson,Mississippi,Web,Within SLA,13,Los Angeles/CA
WPV-53866208-i-349806-BS,Casey Leuren,Neutral,8,9/8/2016,8,Billing Question,Brooklyn,New York,Chatbot,Within SLA,11,Baltimore/MD
VFQ-57739589-l-193160-SS,Daryl Brockington,Neutral,,8/15/2016,15,Service Outage,Des Moines,Iowa,Chatbot,Within SLA,34,Chicago/IL
CYA-41460660-A-483427-PH,Filippo Lobb,Very Positive,10,7/22/2016,22,Payments,Athens,Georgia,Call-Center,Within SLA,28,Denver/CO
KAJ-22233064-X-517737-X0,Shane Edland,Very Positive,10,6/28/2016,28,Billing Question,Spring,Texas,Email,Below SLA,5,Los Angeles/CA
LUH-80430657-z-207262-lV,Burtie Crisford,Very Negative,,6/4/2016,4,Billing Question,Tucson,Arizona,Call-Center,Within SLA,7,Baltimore/MD
ZHL-06753407-O-331004-y6,Arabele Clerke,Neutral,,5/11/2016,11,Service Outage,Austin,Texas,Chatbot,Below SLA,39,Los Angeles/CA
QGD-50303332-A-087785-PH,Giustino Kennermann,Very Negative,,4/17/2016,17,Service Outage,Las Vegas,Nevada,Chatbot,Within SLA,19,Baltimore/MD
ZJX-47155083-b-805254-9M,Glori Oleksiak,Negative,,3/24/2016,24,Payments,Jackson,Tennessee,Call-Center,Below SLA,18,Baltimore/MD
LMR-68858294-L-183176-Qy,Rey Sabatini,Negative,,2/29/2016,29,Payments,Dallas,Texas,Call-Center,Within SLA,7,Chicago/IL
FKP-23360048-y-114896-NK,Brandyn Venneur,Very Positive,,2/5/2016,5,Payments,Washington,District of Columbia,Call-Center,Within SLA,22,Baltimore/MD
AXT-89051099-d-054300-XT,Pierce Gallichan,Negative,,1/12/2016,12,Billing Question,Philadelphia,Pennsylvania,Web,Above SLA,36,Denver/CO
AOG-02888619-4-739374-wN,Chilton Ropars,Neutral,,12/19/2015,19,Service Outage,Fresno,California,Email,Within SLA,25,Los Angeles/CA
OPL-13984987-m-901880-um,Hayley Asty,Very Negative,3,11/25/2015,25,Billing Question,Los Angeles,California,Email,Within SLA,27,Baltimore/MD
YWB-65644523-O-674458-XP,Kore Whittle,Positive,,11/1/2015,1,Billing Question,Baton Rouge,Louisiana,Call-Center,Within SLA,26,Los Angeles/CA
IYD-81228771-b-769762-1V,Abeu Anwyl,Positive,,10/8/2015,8,Billing Question,Delray Beach,Florida,Call-Center,Within SLA,5,Los Angeles/CA
ZHN-91225755-t-681844-LG,Feliks People,Neutral,6,9/14/2015,14,Payments,White Plains,New York,Call-Center,Within SLA,29,Los Angeles/CA
IHI-72966951-G-403110-Sy,Shell Duiguid,Negative,,8/21/2015,21,Billing Question,Peoria,Illinois,Chatbot,Within SLA,31,Denver/CO
IUP-65163856-f-184879-aa,Evania Mildner,Neutral,,7/28/2015,28,Billing Question,Des Moines,Iowa,Chatbot,Above SLA,10,Chicago/IL
DAN-39591608-P-003798-Bg,Alie Myles,Very Positive,,7/4/2015,4,Billing Question,Knoxville,Tennessee,Email,Within SLA,23,Los Angeles/CA
VKG-54364407-E-601314-Fp,Kincaid MacLachlan,Neutral,,6/10/2015,10,Billing Question,Dallas,Texas,Web,Within SLA,27,Los Angeles/CA
AJF-10178673-I-311710-Fh,Rutherford Champain,Negative,,5/17/2015,17,Payments,Anchorage,Alaska,Call-Center,Below SLA,10,Baltimore/MD
NBG-56274949-o-852036-dB,Clair Swallow,Neutral,,4/23/2015,23,Billing Question,Phoenix,Arizona,Email,Above SLA,30,Los Angeles/CA
JIG-42904757-r-372395-ZH,Westleigh Bentzen,Very Negative,,3/30/2015,30,Billing Question,Tallahassee,Florida,Web,Above SLA,36,Baltimore/MD
QKD-91233651-M-990701-UR,Christophe Rosengart,Positive,,3/6/2015,6,Billing Question,Saint Paul,Minnesota,Email,Within SLA,8,Los Angeles/CA
KLM-90591825-E-378019-Ie,Austina Swynfen,Positive,,2/10/2015,10,Service Outage,Glendale,Arizona,Chatbot,Above SLA,33,Los Angeles/CA
VLX-33683640-T-372040-uu,Celestina Tackes,Negative,5,1/17/2015,17,Billing Question,Cleveland,Ohio,Call-Center,Within SLA,43,Chicago/IL
YOK-23627279-k-431497-L2,Oswald Brawson,Positive,,12/24/2014,24,Billing Question,Cape Coral,Florida,Chatbot,Within SLA,23,Baltimore/MD
BIL-26875178-G-474377-tv,Zechariah Ingarfield,Negative,,11/30/2014,30,Billing Question,Charlotte,North Carolina,Call-Center,Within SLA,25,Chicago/IL
RDL-63750260-P-416532-DU,Gussie Vowles,Negative,6,11/6/2014,6,Service Outage,El Paso,Texas,Chatbot,Above SLA,31,Los Angeles/CA
CAG-24954306-H-104528-3n,Felisha Sprowle,Negative,,10/13/2014,13,Billing Question,Charleston,West Virginia,Call-Center,Within SLA,12,Los Angeles/CA
HFL-70785916-D-871851-or,Lorna Boggish,Very Negative,,9/19/2014,19,Billing Question,Valdosta,Georgia,Call-Center,Within SLA,40,Los Angeles/CA
CZG-05210179-2-615320-oK,Charmion Sopp,Neutral,,8/26/2014,26,Payments,Jacksonville,Florida,Call-Center,Within SLA,38,Baltimore/MD
QCH-73713558-G-204641-Mt,Brande Adamini,Neutral,,8/2/2014,2,Billing Question,New Orleans,Louisiana,Email,Within SLA,17,Baltimore/MD
WIQ-06317928-k-919384-Q2,Karl Woolaston,Positive,,7/9/2014,9,Service Outage,Tacoma,Washington,Chatbot,Within SLA,31,Denver/CO
JMP-77172697-n-901768-bp,Gaven Blandamore,Very Negative,,6/15/2014,15,Billing Question,Phoenix,Arizona,Chatbot,Within SLA,18,Los Angeles/CA
HKE-85931805-N-030647-oR,Pieter Pheasey,Negative,,5/22/2014,22,Service Outage,San Jose,California,Chatbot,Within SLA,39,Los Angeles/CA
TQA-46056709-v-539940-ee,Taddeusz Badcock,Negative,6,4/28/2014,28,Billing Question,Charlotte,North Carolina,Web,Below SLA,45,Los Angeles/CA
WZW-59071138-j-875358-dO,Ellyn McCaskill,Very Positive,10,4/4/2014,4,Billing Question,Dayton,Ohio,Chatbot,Within SLA,30,Los Angeles/CA
ORE-49445345-7-879511-FT,Amargo Eplate,Positive,8,3/11/2014,11,Billing Question,Washington,District of Columbia,Web,Below SLA,45,Baltimore/MD
DDC-15300112-m-922879-u2,Lorrie Spong,Very Negative,,2/15/2014,15,Billing Question,Charlotte,North Carolina,Chatbot,Within SLA,9,Baltimore/MD
XOD-41601699-M-437189-Vy,Teodoro Denkin,Positive,,1/22/2014,22,Billing Question,Dayton,Ohio,Web,Within SLA,34,Los Angeles/CA
BGB-25489336-F-739158-Vd,Vale Bouette,Neutral,,12/29/2013,29,Service Outage,Houston,Texas,Chatbot,Within SLA,25,Baltimore/MD
YUK-10925388-i-304236-Br,Pren Klus,Neutral,,12/5/2013,5,Billing Question,New York City,New York,Chatbot,Within SLA,12,Los Angeles/CA
UMM-77438392-W-343952-6Y,Carola Gummery,Neutral,8,11/11/2013,11,Billing Question,Philadelphia,Pennsylvania,Web,Within SLA,44,Baltimore/MD
ZUX-00417832-N-543837-Pe,Faina Matyasik,Negative,6,10/18/2013,18,Billing Question,Roanoke,Virginia,Chatbot,Within SLA,16,Los Angeles/CA
UMY-95311157-A-947677-HK,Doloritas enzley,Very Negative,3,9/24/2013,24,Service Outage,Ocala,Florida,Chatbot,Within SLA,36,Baltimore/MD
AGX-79640692-7-100627-x4,Torrie Wann,Negative,,8/31/2013,31,Billing Question,Lexington,Kentucky,Email,Below SLA,25,Chicago/IL
EVY-85902976-a-973416-a6,Fifi Brien,Very Positive,,8/7/2013,7,Payments,Washington,District of Columbia,Call-Center,Within SLA,18,Denver/CO
YNX-08765761-t-935381-BC,Aggie Pennicard,Neutral,,7/14/2013,14,Billing Question,Springfield,Illinois,Email,Above SLA,8,Chicago/IL
RAU-37744396-2-812188-W2,Ailsun Feaks,Negative,,6/20/2013,20,Billing Question,Salt Lake City,Utah,Chatbot,Within SLA,17,Denver/CO
UPZ-68823283-g-164011-tl,Fina Hebborn,Negative,,5/27/2013,27,Billing Question,Austin,Texas,Call-Center,Below SLA,39,Los Angeles/CA
NMS-25456230-5-260339-Sn,Hazel Sheed,Positive,,5/3/2013,3,Billing Question,Kent,Washington,Email,Within SLA,10,Los Angeles/CA
XMQ-21155114-J-492481-y0,Vallie Frusher,Very Negative,,4/9/2013,9,Payments,Detroit,Michigan,Call-Center,Below SLA,40,Baltimore/MD
PXG-75757404-D-089250-VQ,Ephrem Sweetland,Neutral,,3/16/2013,16,Service Outage,Apache Junction,Arizona,Chatbot,Within SLA,16,Baltimore/MD
VQX-77431944-V-379779-rN,Ines Cosson,Negative,,2/20/2013,20,Service Outage,Salem,Oregon,Email,Above SLA,19,Los Angeles/CA
XRH-28039385-i-441412-qT,Tildi Perfitt,Neutral,,1/27/2013,27,Service Outage,Arlington,Virginia,Email,Within SLA,18,Los Angeles/CA
EZG-96969078-O-814391-br,Emmalynn Torry,Neutral,7,1/3/2013,3,Billing Question,Lehigh Acres,Florida,Call-Center,Within SLA,42,Chicago/IL
YHS-37219789-W-476570-qZ,Flemming Sullens,Negative,,12/10/2012,10,Billing Question,Hattiesburg,Mississippi,Email,Within SLA,42,Los Angeles/CA
CMN-43419712-H-829273-3y,Rowen Snow,Positive,9,11/16/2012,16,Payments,Saint Paul,Minnesota,Call-Center,Below SLA,32,Denver/CO
FBO-87879427-J-009183-mG,Corbet Baleine,Positive,9,10/23/2012,23,Payments,Boston,Massachusetts,Call-Center,Within SLA,42,Los Angeles/CA
VEE-48830806-E-435650-BJ,Kerry Trusslove,Negative,,9/29/2012,29,Service Outage,Orlando,Florida,Web,Within SLA,20,Baltimore/MD
JWP-41440696-2-031451-C6,Boycie Tegler,Very Negative,4,9/5/2012,5,Billing Question,Winston Salem,North Carolina,Call-Center,Within SLA,37,Chicago/IL
KGG-17002859-h-043550-OQ,Aurelie Gundry,Positive,,8/12/2012,12,Billing Question,Lakewood,Washington,Web,Above SLA,11,Los Angeles/CA
WCW-60464774-8-695239-xQ,Rachelle Gellibrand,Positive,,7/19/2012,19,Billing Question,Metairie,Louisiana,Web,Within SLA,13,Chicago/IL
UGV-83416198-x-359115-7q,Arleta Staniland,Positive,8,6/25/2012,25,Billing Question,Portland,Oregon,Web,Below SLA,31,Los Angeles/CA
JDY-21229920-K-658247-id,Lucky Paladini,Negative,,6/1/2012,1,Billing Question,Austin,Texas,Web,Within SLA,28,Chicago/IL
MNT-33811761-U-959291-5J,Inga Grenkov,Negative,5,5/8/2012,8,Billing Question,Richmond,California,Chatbot,Below SLA,43,Los Angeles/CA
AYN-54834891-R-354000-hr,Ashla Raffles,Neutral,,4/14/2012,14,Billing Question,Charlotte,North Carolina,Web,Below SLA,9,Baltimore/MD
MBV-45413978-v-824180-Qi,Vikky Keune,Very Positive,10,3/21/2012,21,Billing Question,Lexington,Kentucky,Email,Within SLA,16,Baltimore/MD
XKQ-86388884-2-623657-TD,Fransisco Oager,Very Negative,,2/26/2012,26,Service Outage,Bronx,New York,Email,Below SLA,36,Baltimore/MD
HLJ-99212779-W-167630-1I,Peyter Balogun,Positive,8,2/2/2012,2,Billing Question,Washington,District of Columbia,Web,Within SLA,13,Baltimore/MD
RLG-69874742-f-666744-im,Cybill Curnok,Neutral,,1/9/2012,9,Service Outage,Colorado Springs,Colorado,Web,Below SLA,35,Chicago/IL
NWG-45955402-4-774653-2L,Marlo Hillin,Very Negative,2,12/16/2011,16,Billing Question,Fredericksburg,Virginia,Chatbot,Within SLA,6,Los Angeles/CA
KUZ-89193200-l-141645-d9,Ricky Bonavia,Very Positive,,11/22/2011,22,Payments,Springfield,Illinois,Call-Center,Within SLA,30,Los Angeles/CA
DFG-59356303-I-414939-zb,Feliza Sipson,Negative,,10/29/2011,29,Service Outage,Troy,Michigan,Email,Within SLA,8,Los Angeles/CA
TTI-53335670-t-550401-k3,Cristin Malkinson,Very Positive,,10/5/2011,5,Billing Question,Fort Wayne,Indiana,Call-Center,Above SLA,16,Chicago/IL
SHV-99168018-u-774671-0p,Hilde Clarkin,Negative,,9/11/2011,11,Billing Question,Corpus Christi,Texas,Web,Below SLA,5,Los Angeles/CA
MIJ-38906805-w-561289-qL,Orelia Orae,Negative,,8/18/2011,18,Billing Question,Canton,Ohio,Chatbot,Below SLA,24,Los Angeles/CA
TGV-97529818-F-226520-Gq,Jenn Brownhill,Neutral,,7/25/2011,25,Billing Question,Honolulu,Hawaii,Email,Within SLA,28,Los Angeles/CA
MOC-43485174-5-316370-dD,Maison Deverose,Negative,,7/1/2011,1,Billing Question,Shreveport,Louisiana,Chatbot,Above SLA,15,Los Angeles/CA
YJM-29316870-c-314136-0T,Gery Portlock,Negative,,6/7/2011,7,Billing Question,Tulsa,Oklahoma,Call-Center,Within SLA,10,Baltimore/MD
GTY-39005350-Q-328428-YA,Josey Osinin,Negative,6,5/14/2011,14,Billing Question,Charleston,West Virginia,Web,Below SLA,36,Chicago/IL
YGX-70181255-1-256525-By,Clarine Moodie,Positive,7,4/20/2011,20,Billing Question,Tampa,Florida,Chatbot,Below SLA,23,Baltimore/MD
XNL-78408806-T-458965-qS,Geri Covelle,Neutral,6,3/27/2011,27,Billing Question,Memphis,Tennessee,Call-Center,Within SLA,28,Los Angeles/CA
PXT-69194953-d-447393-QR,Marga Demicoli,Negative,4,3/3/2011,3,Billing Question,Burbank,California,Chatbot,Above SLA,37,Chicago/IL
JRK-00609213-W-674012-db,Maxim Scandroot,Neutral,6,2/7/2011,7,Payments,Dallas,Texas,Call-Center,Within SLA,27,Los Angeles/CA
KTC-30853866-q-759167-aF,Nadeen Pittendreigh,Neutral,7,1/14/2011,14,Billing Question,Lexington,Kentucky,Chatbot,Within SLA,37,Denver/CO
HZX-57540856-P-760144-Pq,Marrilee McArd,Neutral,5,12/21/2010,21,Billing Question,Pompano Beach,Florida,Email,Within SLA,11,Los Angeles/CA
BGF-80045023-s-226299-lK,Corella Pollicatt,Negative,,11/27/2010,27,Billing Question,Las Vegas,Nevada,Call-Center,Within SLA,15,Baltimore/MD
LWD-82447125-D-644546-bf,Augustina Vockins,Negative,,11/3/2010,3,Billing Question,Washington,District of Columbia,Web,Below SLA,38,Chicago/IL
FPF-80857502-f-712054-6o,Zarah Johann,Negative,4,10/10/2010,10,Billing Question,Fort Myers,Florida,Web,Within SLA,13,Los Angeles/CA
AQP-09146601-u-158026-WF,Redford Ivanishchev,Very Positive,9,9/16/2010,16,Payments,Roanoke,Virginia,Call-Center,Below SLA,11,Baltimore/MD
ASS-22875557-o-550724-IC,Terrill Kick,Neutral,7,8/23/2010,23,Service Outage,Miami,Florida,Chatbot,Within SLA,32,Baltimore/MD
LCC-98072611-T-854471-sd,Keith Krug,Neutral,,7/30/2010,30,Billing Question,Lincoln,Nebraska,Email,Below SLA,8,Chicago/IL
DSU-28581460-x-002850-q8,Alfonso Ardling,Positive,7,7/6/2010,6,Billing Question,Hartford,Connecticut,Web,Within SLA,29,Los Angeles/CA
CAU-19658969-U-798035-SD,Rachele Haville,Neutral,,6/12/2010,12,Billing Question,San Francisco,California,Call-Center,Within SLA,8,Denver/CO
ODP-49997228-u-303230-W5,Joachim Armand,Negative,,5/19/2010,19,Service Outage,Minneapolis,Minnesota,Chatbot,Below SLA,39,Los Angeles/CA
CDP-21514284-p-871522-Xi,Kathryn Roof,Very Negative,,4/25/2010,25,Service Outage,San Francisco,California,Chatbot,Within SLA,24,Baltimore/MD
VVN-36195665-z-321563-dI,Lewiss Guillard,Neutral,7,4/1/2010,1,Service Outage,Peoria,Illinois,Chatbot,Below SLA,24,Los Angeles/CA
RVE-32116131-o-035627-C3,Marjy Inmett,Very Positive,,3/8/2010,8,Billing Question,Fayetteville,North Carolina,Email,Within SLA,27,Baltimore/MD
DIY-05490783-q-896657-pm,Vince Archard,Positive,,2/12/2010,12,Billing Question,Albuquerque,New Mexico,Chatbot,Within SLA,30,Los Angeles/CA
KUF-49133016-8-128406-mx,Rooney Hegg,Negative,4,1/19/2010,19,Billing Question,Houston,Texas,Call-Center,Above SLA,33,Baltimore/MD
QKX-98879212-W-424340-cV,Kimmi Frost,Positive,,12/26/2009,26,Payments,San Francisco,California,Call-Center,Within SLA,7,Los Angeles/CA
NGK-06105458-8-018546-uH,Minnaminnie Dollman,Negative,6,12/2/2009,2,Billing Question,Tacoma,Washington,Chatbot,Within SLA,20,Los Angeles/CA
XUU-06543953-1-404556-et,Natale Slyne,Neutral,,11/8/2009,8,Service Outage,Montgomery,Alabama,Chatbot,Above SLA,44,Chicago/IL
XCL-88834572-N-136296-Iw,Aeriell Croft,Neutral,,10/15/2009,15,Billing Question,San Francisco,California,Chatbot,Within SLA,30,Los Angeles/CA
GVD-91650922-K-616880-vu,Ailyn Langstone,Very Positive,9,9/21/2009,21,Billing Question,Montgomery,Alabama,Email,Above SLA,15,Baltimore/MD
OGR-34257616-4-553825-Wi,Tobin Kerss,Positive,,8/28/2009,28,Billing Question,Fredericksburg,Virginia,Web,Within SLA,25,Baltimore/MD
YLS-51088325-f-606647-fC,Bjorn Collingwood,Very Negative,4,8/4/2009,4,Service Outage,Macon,Georgia,Web,Within SLA,28,Baltimore/MD
RHI-49583683-y-738413-bh,Mateo Northcliffe,Negative,,7/11/2009,11,Billing Question,Glendale,California,Chatbot,Above SLA,33,Baltimore/MD
KLT-10950188-s-340191-Po,Hanni Curryer,Negative,,6/17/2009,17,Billing Question,Peoria,Arizona,Chatbot,Within SLA,9,Baltimore/MD
EPM-97130933-U-560212-dr,Hollie Gibbetts,Negative,,5/24/2009,24,Billing Question,South Bend,Indiana,Web,Within SLA,43,Los Angeles/CA
KKP-08307815-a-533858-sL,Murray Calyton,Negative,,4/30/2009,30,Service Outage,Erie,Pennsylvania,Chatbot,Below SLA,10,Baltimore/MD
